# timestamps [seconds],pts
10984.487074,297529
10984.516096,299431
10984.527266,300163
10984.567488,302799
10984.603529,305161
10984.648085,308081
10984.692671,311003
10984.715284,312485
10984.759199,315363
10984.782484,316889
10984.879255,323231
10984.892958,324129
10984.938154,327091
10984.982680,330008
10985.027601,332952
10985.050123,334428
10985.072065,335866
10985.116743,338794
10985.178450,342838
10985.206862,344700
10985.217817,345418
10985.273237,349050
10985.318037,351986
10985.340986,353490
10985.386458,356470
10985.407850,357872
10985.452009,360766
10985.474714,362254
10985.552656,367362
10985.566755,368286
10985.590437,369838
10985.653151,373948
10985.675215,375394
10985.719954,378326
10985.742567,379808
10985.787459,382750
10985.809889,384220
10985.900648,390168
10985.937300,392570
10985.953383,393623
10985.965529,394419
10985.988203,395905
10986.056959,400411
10986.077498,401757
10986.128218,405081
10986.161360,407253
10986.226088,411495
10986.241926,412533
10986.255781,413441
10986.267805,414229
10986.301283,416423
10986.346052,419357
10986.369490,420893
10986.412398,423705
10986.463331,427043
10986.479414,428097
10986.502180,429589
10986.599104,435941
10986.615339,437005
10986.630659,438009
10986.659315,439887
10986.737013,444979
10986.759260,446437
10986.801039,449175
10986.827467,450907
10986.871077,453765
10986.945784,458661
10986.959395,459552
10987.004500,462508
10987.049635,465466
10987.071943,466928
10987.116530,469850
10987.139235,471338
10987.183729,474254
10987.206038,475716
10987.297346,481700
10987.313917,482786
10987.330000,483840
10987.362288,485956
10987.406538,488856
10987.452223,491850
10987.484663,493976
10987.519941,496288
10987.541212,497682
10987.625624,503214
10987.643538,504388
10987.658735,505384
10987.691511,507532
10987.716017,509138
10987.728132,509932
10987.764631,512324
10987.808577,515204
10987.858809,518496
10987.888319,520430
10987.987318,526917
10987.988295,526981
10988.018355,528951
10988.032362,529869
10988.066115,532081
10988.110426,534985
10988.132948,536461
10988.177290,539367
10988.222578,542335
10988.244734,543787
10988.326094,549119
10988.363356,551561
10988.378126,552529
10988.391493,553405
10988.445601,556951
10988.490614,559901
10988.512526,561337
10988.557020,564253
10988.579878,565751
10988.624006,568643
10988.683668,572553
10988.713392,574501
10988.725477,575293
10988.781599,578971
10988.803480,580405
10988.854231,583731
10988.892958,586269
10988.919966,588039
10988.959273,590614
10988.993879,592882
10989.077925,598390
10989.091444,599276
10989.137983,602326
10989.182905,605270
10989.205794,606770
10989.257918,610186
10989.271895,611102
10989.317274,614076
10989.388014,618712
10989.416487,620578
10989.430525,621498
10989.484785,625054
10989.518446,627260
10989.540236,628688
10989.585097,631628
10989.607008,633064
10989.652479,636044
10989.683058,638048
10989.773573,643980
10989.788588,644964
10989.803084,645914
10989.831099,647750
10989.875441,650656
10989.920424,653604
10989.942640,655060
10989.991285,658247
10990.009077,659413
10990.092360,664871
10990.108137,665905
10990.145704,668367
10990.160109,669311
10990.172682,670135
10990.210585,672619
10990.255934,675591
10990.277907,677031
10990.322157,679931
10990.345381,681453
10990.428755,686917
10990.446608,688087
10990.461317,689051
10990.484541,690573
10990.546003,694601
10990.590315,697505
10990.613020,698993
10990.657576,701913
10990.679762,703367
10990.723829,706255
10990.808607,711811
10990.841108,713941
10990.865217,715521
10990.903212,718011
10990.947767,720930
10990.992109,723836
10991.023482,725892
10991.059401,728246
10991.081679,729706
10991.162733,735018
10991.177046,735956
10991.193373,737026
10991.260115,741400
10991.282820,742888
10991.327253,745800
10991.350233,747306
10991.376814,749048
10991.416762,751666
10991.502760,757302
10991.531233,759168
10991.551253,760480
10991.617933,764850
10991.640364,766320
10991.684920,769240
10991.715010,771212
10991.751906,773630
10991.774122,775086
10991.848524,779962
10991.861769,780830
10991.885908,782412
10991.952986,786807
10991.975599,788289
10992.019941,791195
10992.042494,792673
10992.087355,795613
10992.109236,797047
10992.197584,802837
10992.213057,803851
10992.225660,804677
10992.310316,810225
10992.311293,810289
10992.357130,813293
10992.387587,815289
10992.422041,817547
10992.444502,819019
10992.525618,824335
10992.541365,825367
10992.556318,826347
10992.588118,828431
10992.610884,829923
10992.623121,830725
10992.690535,835143
10992.712385,836575
10992.760298,839715
10992.791304,841747
10992.824263,843907
10992.885206,847901
10992.913435,849751
10992.925978,850573
10992.980391,854138
10993.025404,857088
10993.048201,858582
10993.092116,861460
10993.118788,863208
10993.159407,865870
10993.181624,867326
10993.282454,873934
10993.296583,874860
10993.317427,876226
10993.382857,880514
10993.427382,883432
10993.449782,884900
10993.480208,886894
10993.517012,889306
10993.580519,893468
10993.611464,895496
10993.628370,896604
10993.673048,899532
10993.718702,902524
10993.741469,904016
10993.784773,906854
10993.807478,908342
10993.852064,911264
10993.874464,912732
10993.969679,918971
10993.982496,919811
10993.995649,920673
10994.030531,922959
10994.074965,925871
10994.121077,928893
10994.151655,930897
10994.187361,933237
10994.209456,934685
10994.290602,940003
10994.306471,941043
10994.320845,941985
10994.349898,943889
10994.372236,945353
10994.388228,946401
10994.455732,950825
10994.477400,952245
10994.525679,955409
10994.554915,957325
10994.625502,961951
10994.656019,963951
10994.671187,964945
10994.683912,965779
10994.695479,966537
10994.753584,970345
10994.754561,970409
10994.846083,976407
10994.846998,976467
10994.890516,979319
10994.913527,980827
10995.010206,987162
10995.022169,987946
10995.069502,991048
10995.113722,993946
10995.158827,996902
10995.181227,998370
10995.225660,1001282
10995.248488,1002778
10995.328413,1008016
10995.345564,1009140
10995.359633,1010062
10995.404310,1012990
10995.449598,1015958
10995.471602,1017400
10995.516035,1020312
10995.538923,1021812
10995.583265,1024718
10995.605574,1026180
10995.696791,1032158
10995.713026,1033222
10995.729719,1034316
10995.784620,1037914
10995.806990,1039380
10995.852705,1042376
10995.887037,1044626
10995.919203,1046734
10995.940962,1048160
10996.021650,1053447
10996.038527,1054553
10996.054121,1055575
10996.084334,1057555
10996.107313,1059061
10996.120894,1059951
10996.187208,1064297
10996.209150,1065735
10996.253615,1068649
10996.286146,1070781
10996.320692,1073045
10996.391737,1077701
10996.422133,1079693
10996.434553,1080507
10996.476301,1083243
10996.521803,1086225
10996.544661,1087723
10996.588942,1090625
10996.616133,1092407
10996.655928,1095015
10996.689253,1097199
10996.793135,1104007
10996.808455,1105011
10996.845686,1107451
10996.890425,1110383
10996.913008,1111863
10996.957197,1114758
10996.991438,1117002
10997.082960,1123000
10997.098799,1124038
10997.114638,1125076
10997.129042,1126020
10997.169874,1128696
10997.214735,1131636
10997.237623,1133136
10997.282026,1136046
10997.331007,1139256
